title,company,location,job_type,posted,category,review,number_of_review,salary,description,url
Frontend Software Engineer Intern (User Growth) - 2026 Start (BS/MS),TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities The Growth team plays a core role in acquisition, activation, and retention of billions of users, through our globally popular products such as TikTok, Resso, CapCut, Helo, etc. We are building platform foundation, leveraging data and ML models, and providing end-to-end solutions to power global growth. Typical Growth projects including creative generating, attribution, ads bot, etc. We are looking for talented individuals to join us for an internship in 2026. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis we encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships From January to June From May to August (Summer) Responsibilities: Responsible for the front-end research and development of the Growth Platform; Participate in the construction of the front-end engineering system of the Growth Platform; Responsible for user experience, R & D efficiency, stability, and provide solutions from a front-end perspective. QualificationsMinimum Qualifications: - Undergraduate or Postgraduate with a background in computer science, software engineering, information technology or related majors; - Familiar with front-end technologies such as JavaScript/HTML/CSS, understand the operating principle of the browser, and be able to develop independently without Front-end libraries;Preferred Qualification: - Strong self-drive and sense of responsibility and who have participated in complete projects will be given priority; For TikTokBy submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy For TikTok If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86069578?type=standard&ref=search-standalone&origin=jobCard#sol=643517727d6459b6659255e28c3f31997f006dda
"Field Development Engineer Intern, Colo Regional Engineering",Amazon Asia-Pacific Resources Private Limited (Singapore) - B12,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"DESCRIPTION Every day across the world we develop the ideas, services and products that make life easier for tens of millions of customers, and make good things happen faster. From providing Earth’s Biggest Selection of products to developing ground breaking software and devices that change entire industries. Amazon is a place of invention and progressive thinking.As a Field Development Engineer Intern, you will engage with an experienced cross-disciplinary staff to provide full life-cycle support to AWS Data Centers from design inception through site improvement and maintenance. You will be the ‘go to’ engineering resource for your region when technical advice is needed, and will use your subject matter expertise and engage with diverse teams. Each day you will interact with different teams responsible for all aspects of the data centers. You will prioritize your activities to support data center capacity availability and safety focusing on the actions that are most impactful. You will have the opportunity to work on projects locally and globally. If this sounds exciting to you - come build the future with us! This is a summer full-time internship opportunity in 2026. Key job responsibilities Perform design and equipment submittal review for new Data Centers in your region. Troubleshoot, conduct Root Cause Analysis (RCA) and create Corrective Action (CA) documentation for site/equipment failures. Directly support operational issues with ad-hoc training, complex operating procedure reviews, including critical equipment, and event support. Interface with internal data center design engineering team, server hardware team, environmental health and safety team to promote standards that maintain consistency and reliability in services delivered. Work on concurrent projects, sometimes in multiple geographical regions. A day in the life 0About the team About AWS Diverse Experiences AWS values diverse experiences. Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply. If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying. Why AWS? Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses. Inclusive Team Culture Here at AWS, it’s in our nature to learn and be curious. Our employee-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences, inspire us to never stop embracing our uniqueness. Mentorship & Career Growth We’re continuously raising our performance bar as we strive to become Earth’s Best Employer. That’s why you’ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional. Work/Life Balance We value work-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud. BASIC QUALIFICATIONS Penultimate year student working towards a Bachelor’s degree or Master's Degree in Electrical Engineering or other equivalent technical discipline Knowledge of Power Systems, Fluid Dynamics and/or Thermodynamics PREFERRED QUALIFICATIONS Knowledge of HVAC systems Coursework in commercial/industrial power systems and/or mechanical systems Experience using a variety of web based and other software tools for calculation and data processing Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://sg.jobstreet.com/job/89849169?type=standard&ref=search-standalone&origin=jobCard#sol=6d07ad15ff861eb7e835e00bba34471e87b18dbe
Software Engineer Project Intern (Dev Infra) - 2026 Start (BS/MS),TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities Team Introduction Our Ads QA team focus on the quality assurance of the whole ads-system, including AD manager, delivery system, review system, conversion measurement and etc. We aim to improve the usability, reliability, stability of the whole system and user experience through project testing, automation testing, CI/CD system construction, test tool construction and etc. We are looking for people who have good business sense and testing/CICD/automation experience to join our team. As a project intern, you will have the opportunity to engage in impactful short-term projects that provide you with a glimpse of professional real-world experience. You will gain practical skills through on-the-job learning in a fast-paced work environment and develop a deeper understanding of your career interests. Applications will be reviewed on a rolling basis we encourage you to apply early.Successful candidates must be able to commit to a minimum 6-month full-time internship. A 12-month commitment is preferred with 6 months full-time followed by 6 months part-time. Build advanced and standardized DevOps/QA tools or platforms to accelerate R&D efficiency, improving the efficiency and quality of our engineering team; Be responsible for high-quality design, coding, and tackling highly challenging and technical problems; Cooperate with product manager, participate in product requirement discussion, function definition, etc. QualificationsMinimum Qualifications: - Undergraduate, or Postgraduate who is currently pursuing a degree/master in computer science, software engineering or related fields - Experience in Java/Golang (go) programming language and familiar with common Linux commands;- Familiar with Mysql or any relational database, with certain SQL writing skills and optimization experience; - Work conscientiously and steadfastly, with strong learning ability and problem-solving ability By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacyIf you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/88017020?type=standard&ref=search-standalone&origin=jobCard#sol=5ba2c83ae0b2363e8fa007a58e7cff9f695a705f
Backend Software Engineer Intern (Global LIVE Data Platform) - 2026 Start...,TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities With the enormous growth of live streaming in recent years, our mission is to inspire real-time interactions and help live streamers connect to people from all corners of the globe. We are looking for passionate and talented engineers to join us to build and optimize a real-time, high-performance, large-scale distributed infrastructure for live streaming in TikTok. You will be deeply involved in the developmental lifecycle of critical product features and collaborate closely with product managers to deliver the best live streaming experience for all live streamers and audience alike. TikTok Live Data Platform is building the Index Platform, Label Platform, Portrait Platform, Diagnostic Platform, Data Asset Management Platform, Data Suite and in-place solutions for business. Which involves compute(Streaming processing, Offline pipeline) and storage(OLAP: Clickhouse/Doris, KV store). Now we're supporting end-users TikTok app and Agency's Backstage data applications, enhancing internal platforms with data suites, analysis, diagnosis. We're always encouraging R&D to deliver tech-driven projects to enrich business with insights from data. We are looking for talented individuals to join us for an internship in 2026. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. You will: Plan and lead large-scale technical projects to lay the foundation for the iterative development and scale of early products Develop robust, efficient technology products that serve 1 billion users Contribute to engineering strategy, tooling, processes, and culture Research and apply cutting-edge domain and technical knowledge into products Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basiswe encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships From January to June From May to August (Summer)QualificationsMinimum Qualifications Undergraduate or Postgraduate currently pursuing a Degree/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline Proficient in at least one of the following languages: Go, Python, Java, C++. Deep understanding of computer architecture, data structures and algorithms in depth knowledge of common databases and messaging frameworks like MySQL/Redis/Kafka Able to work closely with diverse stakeholders and have good communication skills Self-driven, positive, cooperative and willing to keep learning enthusiasm at all times Preferred Qualifications Experience in high scalable, highly available, distributed and mission-critical systems. Large scale client-facing industry project development experience. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy If you have any questions, please reach out to us at apac-earlycareers@tiktok.com.",https://sg.jobstreet.com/job/86298369?type=standard&ref=search-standalone&origin=cardTitle#sol=4029ff7040ee44452fa4b517be139449aec094c2
Software Engineer Intern,Nevamind AI,Singapore,Full time,Posted 27d ago,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company Nevamind AI nevamind.ai Designation Software Engineer Intern Date Listed 25 Dec 2025 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 3 Months Profession Engineering Industry Artificial Intelligence / Smart Automation Location Name Singapore Allowance / Remuneration $1,000 - 1,500 monthly Company Profile MemU is an Agentic Memory Layer designed for AI agents and LLM-powered applications.We focus on solving hard problems around long-term memory, accurate retrieval, and controllable context, beyond traditional RAG systems.As a Backend Engineering Intern, you will work on real AI infrastructure, not demos or toy projects.Your code will directly ship to production systems and open-source repositories. Job Description Develop and maintain core backend services of MemU:- Memory CRUD, memory categories, memory historyMemory retrieval, ranking, and filtering - Design and implement APIs for AI agents & LLM applications:Chat / Memorize / Response APIsToken usage and context control - Work on data and storage layers:Vector databases, document stores, relational databasesMemory schema design and evolutionHelp solve engineering challenges:API reliability and performanceConcurrency, scalability, and cost efficiency - Contribute to the open-source community:Fix issues, implement features, submit PRs - Improve README, docs, and usage examplesCollaborate closely with product and agent designers to iterate on real use cases Requirements Must Have: - Currently enrolled student (any major; CS-related preferred) - Solid backend fundamentals - Proficient in at least one backend language (Python / Node.js / Go) - Basic understanding of APIs, databases, and data structuresComfortable reading English technical documentation and writing basic technical messagesGenuine interest in AI, LLMs, agents, and developer tools - Experience with vector databases (FAISS, Milvus, Weaviate, pgvector, etc.)Hands-on experience with RAG, agents, or LLM-based systems - Open-source contributions (Issues / PRs)Strong curiosity about system design and AI infrastructure What You’ll Gain - Hands-on experience building real AI infrastructureDeep understanding of Agent memory, RAG, and LLM systems - Public open-source contributions (GitHub-visible) - Direct collaboration with a fast-moving startup teamOpportunity for long-term collaboration or full-time conversion Application Instructions Please apply for this position by submitting your text CV using InternSG. Kindly note that only shortlisted candidates will be notified. Apply for this position",https://sg.jobstreet.com/job/89327953?type=standard&ref=search-standalone&origin=cardTitle#sol=4f9046a448c6dfa2e07ac8c48454eb346672b828
"Software Development Engineer In Test Intern (Trust and Safety), 2026 Start...",TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities The Trust and Safety(TnS) platform team is responsible for protecting our users from harmful content and abusive behaviours. With the continuous efforts of our trust and safety platform team, TikTok can provide the best user experience and bring joy to everyone in the world. Our team is responsible for achieving goals by building moderation desktop applications, Low-code engine & platform, and all kinds of supportive platforms across TnS organization. We are looking for talented individuals to join us for an internship in 2026. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Responsibilities Manage the quality assurance of Trust and Safety products; Actively involve in the product development process and coordinate with various roles to continuously deliver high-quality products; Improve product quality and efficiency through technical means such as tool platform development, automated testing and performance testing; Prospective technology research and application, applying appropriate technology to improve business quality. Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basiswe encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships From January to June From May to August (Summer)QualificationsMinimum Qualifications: Undergraduate or Postgraduate currently pursuing a Degree/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline Have a passion for computer science and Internet technology, strong interest in software quality assurance; Solid data structure and algorithm foundation; Good computer foundation, highly proficient in at least one of the programming languages: Python, Java, Go, C/C++; Preferred Qualifications: Good logical thinking and team communication skills; Prior internship in quality assurance work is a plus. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86158435?type=standard&ref=search-standalone&origin=cardTitle#sol=999bbe0d369bd954e6aa562f7855958abe251abc
"Software Engineer, Intern",Stripe,Singapore,Full time,NOT FOUND,Programme & Project Management (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Who we areAbout StripeStripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career. About the teamOur internship program will provide an opportunity to work on meaningful products that will grow the GDP of the internet. Through the internship, you will work with many systems and technologies, gain experience in systems design and testing, and have opportunities to present your work to your team and the wider org. Each intern has a dedicated intern manager, and every project is part of the team’s roadmap and will directly help Stripe’s mission. What you’ll doEvery internship at Stripe centers around a real, legitimate project that our customers urgently need, touching many parts of our operations and stack. We will support you in shipping it. Yes, you will actually ship it. Some recent projects include rebuilding our statistics aggregation service, building new service discovery systems, and many user facing projects like making it easy to understand error messages on Stripe Checkout. As a Stripe intern, you'll be tackling important projects to increase global commerce, while working alongside exceptional people who insist on doing their best work. You’ll learn from people with high standards who are great at inspiring others to do more and go further. We value technical and personal growth, and see our internship program as a vehicle to foster both. Responsibilities Write software that will be used in production, and has meaningful impact to Stripe Give and receive technical feedback through code reviews or design discussions Collaborate with other engineers and cross-functional stakeholders to proactively seek and incorporate feedback Learn quickly by asking great questions, by working with your intern manager and teammates effectively, and by communicating the status of your work clearly Who you areWe’re looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement. Minimum requirements A strong fundamental understanding of computer science through pursuit of a Bachelor’s, Master’s, or PhD degree in computer science, math, or a related discipline Some experience and familiarity with programming, either through side projects or classwork. We work mostly in Java, Ruby, JavaScript, Scala, and Go. We believe new programming languages can be learned if the fundamentals and general knowledge are present Experience from previous internships or other multi-person projects, including open source contributions, that demonstrate evaluating and receiving feedback from mentors, peers, and stakeholders Ability to learn unfamiliar systems and form an understanding of those systems, through independent research and working with a mentor and subject matter experts Preferred qualifications At least 2 years of university education, or equivalent work experience One or more areas of specialized knowledge balanced with general skills and knowledge, such as knowing more frontend technologies and, at a high level, how a service handles an HTTP request Understanding and some experience writing high quality pull requests, with good test coverage, and working knowledge to complete projects with minimal defects Familiarity with navigating and managing your work in new code bases, with multiple languages Ability to write clearly to explain your work to stakeholders, team members, and other Stripes",https://sg.jobstreet.com/job/86929912?type=standard&ref=search-standalone&origin=jobCard#sol=44e27a1644d09ae0f05482f81f759f8c26eaee1a
Mobile Software Engineer Intern (Social) - 2026 Start (BS/MS),TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Developers/Programmers (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities We are the messaging team on TikTok. Our team's mission is to facilitate meaningful user connections through TikTok's messaging experience, which is still in its infancy. We achieve our mission by building and shipping tools that help our users more easily connect and share the things they care about. We are looking for talented individuals to join us for an internship in 2026*. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis we encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships From January to June From May to August (Summer) Responsibilities: Create and refine high performance mobile apps that push the limits of mobile technology; Work closely with our product team to conceptualize, develop and launch new and innovative social features; Design, architect and implement well-tested Android software which powers social experiences in TikTok; Carry out code reviews to guarantee code quality QualificationsMinimum Qualifications Undergraduate, or Postgraduate who is currently pursuing a degree/master in Computer Science, Computer Engineering, Information Systems or a related technical discipline; Proficiency in coding & scripting languages such as C/C++, Java, Kotlin, Objective-C, Swift, JavaScript or Python Preferred Qualifications Solid understanding of computer science and strong problem solving skills Good team communication and collaboration skills Prior internship experience in mobile development (Android/iOS apps) is a plus Passion and experience building consumer-facing products is a huge plus By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86069595?type=standard&ref=search-standalone&origin=cardTitle#sol=1699e5ea6669f371a78bd62abceda5b7b3f727ab
Backend Software Engineer Intern (Search) - 2026 Start (BS/MS),TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities About the Team: Our team's responsibility is to use the most cutting-edge technology to create the best search engine products. The vision is to support the effective development of TikTok's overall business, efficiently linkage users and information, help users solve problems, and become the preferred short video search engine for users around the world. We are looking for talented individuals to join us for an internship in 2026. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships - From January to June - From May to August (Summer) Job description 1. Product Development: Support fast iterations of TikTok Search business and further enable the product growth. 2. Performance & Stability: Build a fast and robust Search product by keeping optimizing system performance and improving service stability. 3. Search Engineering Infrastructure: Guarantee reasonable Search architecture governance to ensure that the overall system operates smoothly. 4. Search offline processing: Construct a high freshness multi-media index and provide a reliable offline data support for Search Engine. Qualifications Minimum Qualifications: - Undergraduate or Postgraduate with computer science, software engineering, information technology or related majors; - Proficient in back-end technologies - Familiar with backend mainstream frameworks. Preferred Qualification: - Passion for technology, good communication skills and team spirit By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86069573?type=standard&ref=search-standalone&origin=cardTitle#sol=3baf8e23abd2f414f4ed504d4f8f11377947f4bc
Frontend Software Engineer Intern (Search) - 2026 Start (BS/MS),TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities About the Team: Our team's responsibility is to use the most cutting-edge technology to create the best search engine products. The vision is to support the effective development of TikTok's overall business, efficiently linkage users and information, help users solve problems, and become the preferred short video search engine for users around the world. We are looking for talented individuals to join us for an internship in 2026*. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis we encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Successful candidates must be able to commit to either of the following Internships From January to June From May to August (Summer) Job description Responsible for the front-end research and development of the Search Cloud Platform's business; Participate in the construction of the front-end engineering system of the Search Cloud Platform; Responsible for user experience, R & D efficiency, and stability, and provide solutions from a front-end perspective. QualificationsMinimum Qualifications - Undergraduate or Postgraduate with background of frontend in computer science, software engineering, information technology or related majors; -Proficient in front-end technologies such as JavaScript/HTML/CSS-Familiar with front-end mainstream frameworks, JS libraries and related ecological tools, such as: React/Vue/AngularJS, etc., understand their design principles and application scenarios; Preferred Qualification -Passion for technology, good communication skills and team spiritBy submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86164628?type=standard&ref=search-standalone&origin=cardTitle#sol=eb64295658689908db9bb4459f4ac9c5a1dc91ca
Software Development Engineer (Intern),EMQ2 Technology Services,"Kampong Bugis, Central Region",Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company EMQ2 Technology Services emq2.io Designation Software Development Engineer (Intern) Date Listed 24 Jul 2025 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 6 Months Profession IT / Information Technology Industry Computer and IT Location Name Kampong Bugis, Singapore Address Kampong Bugis, Singapore Map Allowance / Remuneration $1,000 - 1,500 monthly Company Profile We are recruiting for SANDP1T, EMQ2 & H3VEA! Are you eager to be at the forefront of digital transformation? Our community's mission is to empower people through human-centric digital initiatives that create meaningful value and make a positive impact on the *. We believe that salary is only 1 piece of the puzzle and are constantly striving towards holistic compensation. Our portfolio is a Singapore's Best Workplaces 2023 winner* (https://greatplacetowork.com.sg/awards-list/singapores-best-workplaces-2023-small/). Apart from just delighting customers, come be part of our journey to build a diverse, inclusive, and empowering work environment where everyone can reach their full potential. Apply for our open positions and join our growing community's mission to drive real impact & positive change through digital transformation *. Job Description Summary We’re looking for a Software Developer Intern to join our team. This role is ideal for someone passionate about building scalable UI components, improving developer experience, and collaborating closely with designers to ensure consistency across our products. You’ll gain hands-on experience in front-end development, design tooling, and the foundations of design systems at scale. Responsibilities Assist in developing and maintaining reusable, accessible UI components in React. Collaborate with designers to ensure visual and interaction consistency. Write clear documentation and usage guidelines for components. Participate in code reviews and QA to maintain code quality and accessibility. Write and maintain unit and visual regression test cases. Qualifications Required: Familiarity with modern front-end technologies (e.g., HTML, CSS, TypeScript). Basic knowledge of React. Interest in design systems, UI/UX, or front-end architecture. Good communication and collaboration skills. Nice to Have: Experience with tools like Figma or Storybook. Enthusiasm for clean code, documentation, and design consistency. Application Instructions Please apply for this position through https://join-sandp1t.atlassian.net/ Apply for this position",https://sg.jobstreet.com/job/87404754?type=standard&ref=search-standalone&origin=cardTitle#sol=8445ad22174d168b1163835cd41f96741a89c3b0
Software Development Intern,Nested Technologies,"Kampong Ubi, Central Region",Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Company Nested Technologies Pte. Ltd. nested.ai Designation Software Development Intern Date Listed 21 Jul 2025 Job Type Entry Level / Junior Executive Intern/TS Job Period Immediate Start, For At Least 3 Months Profession IT / Information Technology Industry Built Environment Location Name Ubi Road 1, #04-36, Singapore 408729, Singapore Address 65, 1 Ubi Rd 1, #04-36 Oxley BizHub, Singapore 408729 Map Allowance / Remuneration $800 - 1,200 monthly Company Profile Nested Technologies specializes in artificial intelligence, utilizing deep learning to explore areas from biomedical image segmentation to multimodal spatial transcriptomics. We believe in helping traditional industries find new solutions in solving problems. Job Description Technical Skills (Preferred) Python, Django, PostgreSQL, EC2, S3, RDS (Optional) Scikit-Learn, Tensorflow, Docker, Kubernetes Objectives The full-stack interns will be involved in software development for web application. The software development takes in the direction of automation and machine learning. They will join the team to research, design, and implement these software programs into scalable web applications. Primary Responsibilities Front-end development with Bootstrap Design web app with Django framework Deployment on AWS Integrate payment with PayPal SDK Explore computer vision with OpenCV QA testing This position is already closed and no longer available. You may like to view the other latest internships here.",https://sg.jobstreet.com/job/87366256?type=standard&ref=search-standalone&origin=jobCard#sol=f15161003b611c7a0cec769b89af94d3ab541a8e
"Software Engineer Intern (TikTok Application Computing, Data + AI) - 2026...",TikTok Pte. Ltd.,Singapore,Full time,NOT FOUND,Engineering - Software (Information & Communication Technology),NOT FOUND,NOT FOUND,NOT FOUND,"Responsibilities Team Introduction TikTok's Recommendation Architecture Team is responsible for designing and developing the architecture and computing systems that power the recommendation engines behind products with over a billion users. The team ensures system stability and high availability, abstracts general-purpose real-time and batch computing frameworks, and builds flexible, scalable, high-performance storage systems and computing models. We provide core infrastructure and general-purpose components for key areas such as deduplication, counting, feature generation, training pipelines, and stream-batch computing engines, enabling the success of recommendation services at scale. For roles looking to start before calendar year 2026 : We are looking for talented individuals to join us for an internship in from Sept. 2025 onwards. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis we encourage you to apply early.Successful candidates must be able to commit to at least 3 months long internship period. Responsibilities Design and implement scalable distributed computing and training systems for large-scale recommendation systems. Build flexible, extensible, stable, and high-performance components for offline storage, computing, and training. Perform troubleshooting for production systems, and design and develop tools and mechanisms to ensure system stability and reliability. Develop industry-leading distributed training and computing frameworks for recommendation systems, providing robust infrastructure for massive datasets and large-scale business systems. QualificationsMinimum Qualifications: Undergraduate or Postgraduate currently pursuing a Degree/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline. Passionate about computer science and internet technologies. Proficient in programming languages such as Java, C++, Scala, or Python. Interested in data lake technologies like Hudi, Iceberg, or Paimon, and in distributed AI ecosystems such as Ray, PyTorch, Flink, or Spark. Preferred Qualifications: Solid foundation in computer science, with deep understanding of data structures, algorithms, and operating systems. Strong logical and analytical skills, with the ability to abstract and decompose complex business logic. Strong curiosity and learning ability; capable of reading and understanding cutting-edge research papers; excellent communication and collaboration skills. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",https://sg.jobstreet.com/job/86077332?type=standard&ref=search-standalone&origin=cardTitle#sol=adda232acfadb3b5c1849a7ccb9e98455b85ef76
